search_engine_keyword,session_entry_url,search_engine_impressions,search_engine_clicks,search_engine_ctr,search_engine_average_position
spanje reisadvies,https://www.rijksoverheid.nl/ministeries/ministerie-van-buitenlandse-zaken/het-werk-van-bz-in-de-praktijk/weblogs/2020/jan-versteeg,8425,169,0.0200593471810089,8.279169139465875
barcelona corona,https://www.rijksoverheid.nl/ministeries/ministerie-van-buitenlandse-zaken/het-werk-van-bz-in-de-praktijk/weblogs/2020/corona-opleving-in-spanje-tips-voor-vakantiegangers,8377,805,0.09609645457801122,4.039632326608571
corona in italie,https://www.rijksoverheid.nl/ministeries/ministerie-van-buitenlandse-zaken/het-werk-van-bz-in-de-praktijk/weblogs/2020/joost-flamand,7936,370,0.04662298387096774,7.898689516129032
corona zweden cijfers,https://www.rijksoverheid.nl/ministeries/ministerie-van-buitenlandse-zaken/het-werk-van-bz-in-de-praktijk/weblogs/2020/ines-coppoolse,7794,92,0.01180395175776238,9.408647677700795
lloret de mar corona,https://www.rijksoverheid.nl/ministeries/ministerie-van-buitenlandse-zaken/het-werk-van-bz-in-de-praktijk/weblogs/2020/jan-versteeg,7701,1013,0.13154135826516036,3.6308271653032076
vakantie spanje corona,https://www.rijksoverheid.nl/ministeries/ministerie-van-buitenlandse-zaken/het-werk-van-bz-in-de-praktijk/weblogs/2020/jan-versteeg,7666,851,0.11100965301330551,4.3589877380641795
reisadvies italië,https://www.rijksoverheid.nl/ministeries/ministerie-van-buitenlandse-zaken/het-werk-van-bz-in-de-praktijk/weblogs/2020/joost-flamand,7647,156,0.020400156924284034,7.743559565842814
griekenland vakantie corona,https://www.rijksoverheid.nl/ministeries/ministerie-van-buitenlandse-zaken/het-werk-van-bz-in-de-praktijk/weblogs/2020/stella-ronner,7624,392,0.05141657922350472,6.248950682056663
corona frankrijk vakantie,https://www.rijksoverheid.nl/ministeries/ministerie-van-buitenlandse-zaken/het-werk-van-bz-in-de-praktijk/weblogs/2020/dirk-jan-nieuwenhuis,7552,334,0.04422669491525424,7.160884533898305
corona vakantie frankrijk,https://www.rijksoverheid.nl/ministeries/ministerie-van-buitenlandse-zaken/het-werk-van-bz-in-de-praktijk/weblogs/2020/dirk-jan-nieuwenhuis,7498,80,0.010669511869831956,8.482662043211523
rijksoverheid,https://www.rijksoverheid.nl/ministeries/ministerie-van-buitenlandse-zaken/het-werk-van-bz-in-de-praktijk/weblogs/2020/hester-somsen,7402,9,0.001215887597946501,2.000135098621994
curacao corona,https://www.rijksoverheid.nl/ministeries/ministerie-van-buitenlandse-zaken/het-werk-van-bz-in-de-praktijk/weblogs/2020/damian-vieira-barreto,7356,32,0.004350190320826536,11.00067971723763
vakantie 2020,https://www.rijksoverheid.nl/ministeries/ministerie-van-buitenlandse-zaken/het-werk-van-bz-in-de-praktijk/weblogs/2020/dirk-jan-nieuwenhuis,7277,108,0.014841280747560808,2.3956300673354405
corona sardinie,https://www.rijksoverheid.nl/ministeries/ministerie-van-buitenlandse-zaken/het-werk-van-bz-in-de-praktijk/weblogs/2020/joost-flamand,7258,481,0.06627170019289061,6.108983190961697
corona berlijn,https://www.rijksoverheid.nl/ministeries/ministerie-van-buitenlandse-zaken/het-werk-van-bz-in-de-praktijk/weblogs/2020/wepke-kingma,7127,1274,0.17875684018521118,3.579486459941069
corona griekse eilanden,https://www.rijksoverheid.nl/ministeries/ministerie-van-buitenlandse-zaken/het-werk-van-bz-in-de-praktijk/weblogs/2020/stella-ronner,7050,311,0.04411347517730496,6.23645390070922
buza,https://www.rijksoverheid.nl/ministeries/ministerie-van-buitenlandse-zaken/documenten,7041,18,0.0025564550489987218,2.162618946172419
minister van buitenlandse zaken,https://www.rijksoverheid.nl/ministeries/ministerie-van-buitenlandse-zaken/contact,6910,80,0.011577424023154847,2.6322720694645443
corona maatregelen italie,https://www.rijksoverheid.nl/ministeries/ministerie-van-buitenlandse-zaken/het-werk-van-bz-in-de-praktijk/weblogs/2020/joost-flamand,6895,814,0.11805656272661348,4.0371283538796225
rijksoverheid,https://www.rijksoverheid.nl/ministeries/ministerie-van-buitenlandse-zaken/het-werk-van-bz-in-de-praktijk/weblogs/2020/corona-opleving-in-spanje-tips-voor-vakantiegangers,6823,24,0.003517514289901803,2.000439689286238
corona duitsland regels,https://www.rijksoverheid.nl/ministeries/ministerie-van-buitenlandse-zaken/het-werk-van-bz-in-de-praktijk/weblogs/2020/wepke-kingma,6747,465,0.0689195197865718,3.6995701793389655
reizen naar spanje,https://www.rijksoverheid.nl/ministeries/ministerie-van-buitenlandse-zaken/het-werk-van-bz-in-de-praktijk/weblogs/2020/jan-versteeg,6716,300,0.04466944609886837,5.722900536033353
zweden corona cijfers,https://www.rijksoverheid.nl/ministeries/ministerie-van-buitenlandse-zaken/het-werk-van-bz-in-de-praktijk/weblogs/2020/ines-coppoolse,6677,225,0.03369776845888872,5.267635165493485
reizen naar italie,https://www.rijksoverheid.nl/ministeries/ministerie-van-buitenlandse-zaken/het-werk-van-bz-in-de-praktijk/weblogs/2020/joost-flamand,6497,124,0.019085731876250577,8.550253963367709
italie corona vakantie,https://www.rijksoverheid.nl/ministeries/ministerie-van-buitenlandse-zaken/het-werk-van-bz-in-de-praktijk/weblogs/2020/joost-flamand,6384,571,0.08944235588972431,4.261278195488722
minbuza,https://www.rijksoverheid.nl/ministeries/ministerie-van-buitenlandse-zaken/documenten,6303,38,0.006028875138822783,1.134221799143265
lockdown frankrijk,https://www.rijksoverheid.nl/ministeries/ministerie-van-buitenlandse-zaken/het-werk-van-bz-in-de-praktijk/weblogs/2020/dirk-jan-nieuwenhuis,6264,645,0.10296934865900383,3.6690613026819925
ministerie van buitenlandse zaken reisadvies,https://www.rijksoverheid.nl/ministeries/ministerie-van-buitenlandse-zaken/contact/contactformulieren/vragen-over-reisadviezen,6091,162,0.026596617960925956,6.600065670661632
duitsland coronamaatregelen,https://www.rijksoverheid.nl/ministeries/ministerie-van-buitenlandse-zaken/het-werk-van-bz-in-de-praktijk/weblogs/2020/wepke-kingma,6086,290,0.047650345054222804,5.821557673348669
zweden reisadvies,https://www.rijksoverheid.nl/ministeries/ministerie-van-buitenlandse-zaken/het-werk-van-bz-in-de-praktijk/weblogs/2020/ines-coppoolse,6043,321,0.053119311600198574,6.469965249048486
buza,https://www.rijksoverheid.nl/ministeries/ministerie-van-buitenlandse-zaken/organisatie,6031,9,0.001492289835848118,2.3420659923727407
frankrijk lockdown,https://www.rijksoverheid.nl/ministeries/ministerie-van-buitenlandse-zaken/het-werk-van-bz-in-de-praktijk/weblogs/2020/dirk-jan-nieuwenhuis,5883,509,0.08652048274689784,3.459119496855346
frankrijk corona vakantie,https://www.rijksoverheid.nl/ministeries/ministerie-van-buitenlandse-zaken/het-werk-van-bz-in-de-praktijk/weblogs/2020/dirk-jan-nieuwenhuis,5880,199,0.033843537414965985,7.59795918367347
ministerie buitenlandse zaken reisadvies,https://www.rijksoverheid.nl/ministeries/ministerie-van-buitenlandse-zaken/contact/contactformulieren/vragen-over-reisadviezen,5876,101,0.01718856364874064,6.824370319945541
rome corona,https://www.rijksoverheid.nl/ministeries/ministerie-van-buitenlandse-zaken/het-werk-van-bz-in-de-praktijk/weblogs/2020/joost-flamand,5824,582,0.09993131868131869,4.3125
duitsland vakantie corona,https://www.rijksoverheid.nl/ministeries/ministerie-van-buitenlandse-zaken/het-werk-van-bz-in-de-praktijk/weblogs/2020/wepke-kingma,5706,243,0.04258675078864353,4.376621100595864
corona in spanje,https://www.rijksoverheid.nl/ministeries/ministerie-van-buitenlandse-zaken/het-werk-van-bz-in-de-praktijk/weblogs/2020/jan-versteeg,5671,374,0.06594956797742903,6.830365014988538
corona maatregelen duitsland,https://www.rijksoverheid.nl/ministeries/ministerie-van-buitenlandse-zaken/het-werk-van-bz-in-de-praktijk/weblogs/2020/wepke-kingma,5652,433,0.07661004953998585,2.949398443029016
reizen naar griekenland,https://www.rijksoverheid.nl/ministeries/ministerie-van-buitenlandse-zaken/het-werk-van-bz-in-de-praktijk/weblogs/2020/stella-ronner,5638,148,0.02625044341965236,7.949272791770131
griekenland,https://www.rijksoverheid.nl/ministeries/ministerie-van-buitenlandse-zaken/het-werk-van-bz-in-de-praktijk/weblogs/2020/stella-ronner,5590,82,0.014669051878354204,9.562611806797854
coronavirus duitsland,https://www.rijksoverheid.nl/ministeries/ministerie-van-buitenlandse-zaken/het-werk-van-bz-in-de-praktijk/weblogs/2020/wepke-kingma,5587,45,0.008054412027921962,10.734741363880437
regels corona duitsland,https://www.rijksoverheid.nl/ministeries/ministerie-van-buitenlandse-zaken/het-werk-van-bz-in-de-praktijk/weblogs/2020/wepke-kingma,5572,518,0.09296482412060302,3.439877961234745
reizen naar frankrijk,https://www.rijksoverheid.nl/ministeries/ministerie-van-buitenlandse-zaken/het-werk-van-bz-in-de-praktijk/weblogs/2020/dirk-jan-nieuwenhuis,5571,139,0.024950637228504758,7.376054568300126
wereldtentoonstelling 2020,https://www.rijksoverheid.nl/ministeries/ministerie-van-buitenlandse-zaken/evenementen/dubai-expo-2020,5510,300,0.0544464609800363,2.47513611615245
nederland corona,https://www.rijksoverheid.nl/ministeries/ministerie-van-buitenlandse-zaken/het-werk-van-bz-in-de-praktijk/weblogs/2020/corona-opleving-in-spanje-tips-voor-vakantiegangers,5418,40,0.007382798080472499,8.820967146548542
minbuza,https://www.rijksoverheid.nl/ministeries/ministerie-van-buitenlandse-zaken/organisatie,5400,7,0.0012962962962962963,1.1172222222222221
corona italie vakantie,https://www.rijksoverheid.nl/ministeries/ministerie-van-buitenlandse-zaken/het-werk-van-bz-in-de-praktijk/weblogs/2020/joost-flamand,5397,428,0.07930331665740226,4.340559570131554
duitsland coronaregels,https://www.rijksoverheid.nl/ministeries/ministerie-van-buitenlandse-zaken/het-werk-van-bz-in-de-praktijk/weblogs/2020/wepke-kingma,5351,339,0.06335264436553915,3.7772378994580453
minister van buitenlandse zaken,https://www.rijksoverheid.nl/ministeries/ministerie-van-buitenlandse-zaken/privacy,5339,16,0.0029968158831241805,2.7924705000936503
griekse eilanden vakantie corona,https://www.rijksoverheid.nl/ministeries/ministerie-van-buitenlandse-zaken/het-werk-van-bz-in-de-praktijk/weblogs/2020/stella-ronner,5255,69,0.01313035204567079,6.5585156993339675
